,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,int_rates_add_2pct,new_term
71,111987043,,1000,1000,1000,36 months,7.07,30.91,A,A2,Jun-17,Current,n,,other,Other,177xx,PA,20.81,0,Feb-01,0,32.0,,10,0,3470,34.7,24,w,7.2114,48 months
75,112060838,,10000,10000,10000,36 months,15.05,346.9,C,C4,Jun-17,Current,n,,credit_card,Credit card refinancing,554xx,MN,27.22,0,May-01,0,52.0,91.0,13,1,9337,62.2,27,w,15.351,48 months
76,109731451,,8000,8000,8000,36 months,18.06,289.47,D,D2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,212xx,MD,18.79,2,Dec-05,2,7.0,,10,0,8289,66.8,18,f,18.4212,48 months
78,112057431,,7000,7000,7000,36 months,5.32,210.81,A,A1,Jun-17,Current,n,,home_improvement,Home improvement,711xx,LA,14.78,0,Feb-89,0,55.0,,16,0,2127,2.3,43,w,5.4264,48 months
79,112432881,,6000,6000,6000,36 months,10.91,196.18,B,B4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,894xx,NV,6.53,0,Jan-06,0,29.0,,4,0,6514,61.5,7,w,11.1282,48 months
80,111104344,,6000,6000,6000,36 months,10.91,196.18,B,B4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,801xx,CO,24.32,4,Dec-89,0,9.0,,15,0,12637,54.0,54,w,11.1282,48 months
81,112219741,,10000,10000,10000,36 months,13.59,339.79,C,C2,Jun-17,Current,n,,other,Other,926xx,CA,19.29,0,Mar-10,2,36.0,97.0,22,1,3506,10.6,33,w,13.8618,48 months
82,112048245,,12000,12000,12000,36 months,9.44,384.06,B,B1,Jun-17,Current,n,,credit_card,Credit card refinancing,941xx,CA,20.77,0,Apr-14,0,,,8,0,2936,14.3,8,w,9.6288,48 months
83,112028978,,5400,5400,5400,36 months,7.21,167.26,A,A3,Jun-17,Current,n,,credit_card,Credit card refinancing,802xx,CO,4.85,0,Jan-07,0,,,3,0,3818,42.0,5,w,7.3542,48 months
85,111116526,,4000,4000,4000,36 months,10.91,130.79,B,B4,Jun-17,Current,n,,home_improvement,Home improvement,930xx,CA,22.36,0,Oct-93,0,33.0,,5,0,2074,21.6,15,w,11.1282,48 months
87,111812442,,25750,25750,25750,36 months,24.85,1021.78,E,E3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,701xx,LA,19.04,0,Nov-04,1,47.0,,5,0,8565,97.3,16,w,25.347,48 months
88,110348357,,4000,4000,4000,36 months,9.93,128.94,B,B2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,444xx,OH,16.29,0,Jun-06,0,65.0,63.0,15,2,5449,31.3,32,w,10.1286,48 months
89,111673824,,25000,25000,25000,36 months,16.02,879.18,C,C5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,773xx,TX,29.83,0,Jul-06,0,35.0,,13,0,16306,42.9,25,w,16.3404,48 months
90,112044636,,35000,35000,35000,36 months,5.32,1054.02,A,A1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,750xx,TX,12.44,0,May-96,0,,,8,0,37621,33.8,25,w,5.4264,48 months
93,112048295,,16000,16000,16000,36 months,7.97,501.17,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,921xx,CA,31.46,0,May-01,0,,,11,0,74605,19.4,16,w,8.1294,48 months
94,111837549,,8000,8000,8000,36 months,10.42,259.72,B,B3,Jun-17,Current,n,,credit_card,Credit card refinancing,550xx,MN,29.84,0,Sep-98,0,80.0,62.0,11,2,10000,31.4,29,w,10.6284,48 months
95,112038266,,26025,26025,26025,36 months,30.17,1107.23,F,F3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,998xx,AK,14.69,0,Oct-00,0,45.0,,6,0,13428,87.2,11,f,30.773400000000002,48 months
96,111877690,,10000,10000,10000,36 months,18.06,361.83,D,D2,Jun-17,Current,n,,other,Other,288xx,NC,25.22,0,Jul-00,0,47.0,39.0,10,1,2675,40.5,16,w,18.4212,48 months
97,111959117,,4000,4000,4000,36 months,11.99,132.84,B,B5,Jun-17,Current,n,,other,Other,381xx,TN,21.45,0,Aug-89,0,27.0,,11,0,23429,98.9,22,w,12.229800000000001,48 months
98,112349857,,25000,25000,25000,36 months,7.35,775.94,A,A4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,794xx,TX,24.03,0,Apr-82,1,,,14,0,17882,30.2,56,w,7.497,48 months
99,112132535,,3000,3000,3000,36 months,11.99,99.63,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,119xx,NY,20.58,0,Nov-88,1,60.0,,24,0,121423,53.0,44,w,12.229800000000001,48 months
100,112147296,,10000,10000,10000,36 months,11.99,332.1,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,104xx,NY,5.8,0,Sep-04,0,28.0,,7,0,4672,14.6,11,w,12.229800000000001,48 months
101,112329351,,20000,20000,20000,36 months,7.97,626.46,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,100xx,NY,11.58,0,Jun-05,0,,,7,0,25728,86.9,16,w,8.1294,48 months
102,111786906,,14000,14000,14000,36 months,9.93,451.29,B,B2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,334xx,FL,28.32,1,Jun-93,1,19.0,,16,0,22584,66.6,32,w,10.1286,48 months
104,112299951,,4500,4500,4500,36 months,20.0,167.24,D,D4,Jun-17,In Grace Period,n,,credit_card,Credit card refinancing,530xx,WI,32.33,0,Feb-05,1,58.0,,10,0,7158,80.4,19,w,20.4,48 months
105,112043626,,12000,12000,12000,36 months,7.07,370.91,A,A2,Jun-17,Current,n,,credit_card,Credit card refinancing,481xx,MI,27.4,0,Sep-04,0,,114.0,26,1,13294,41.0,33,w,7.2114,48 months
106,111866510,,7500,7500,7500,36 months,7.07,231.82,A,A2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,945xx,CA,11.02,0,Oct-05,0,,,5,0,12617,35.6,6,w,7.2114,48 months
107,111082085,,3500,3500,3500,36 months,18.06,126.64,D,D2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,857xx,AZ,32.53,0,Nov-94,0,70.0,,3,0,1493,71.1,13,w,18.4212,48 months
109,112026101,,5000,5000,5000,36 months,7.35,155.19,A,A4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,600xx,IL,12.1,0,Dec-96,0,,,10,0,8553,16.4,15,w,7.497,48 months
110,111660533,,10000,10000,10000,36 months,11.99,332.1,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,801xx,CO,3.2,0,Jun-03,2,49.0,104.0,4,1,5962,53.7,8,w,12.229800000000001,48 months
111,111937864,,6150,6150,6150,36 months,16.02,216.28,C,C5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,112xx,NY,32.81,1,Apr-92,0,22.0,,12,0,10067,27.8,21,w,16.3404,48 months
113,112379224,,14000,14000,14000,36 months,14.08,479.04,C,C3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,190xx,PA,19.73,0,Sep-11,1,,,8,0,14235,56.0,11,w,14.3616,48 months
115,111896883,,10800,10800,10800,36 months,9.93,348.14,B,B2,Jun-17,Current,n,,vacation,Vacation,300xx,GA,15.52,0,May-86,2,,,14,0,74579,70.0,37,w,10.1286,48 months
116,111813439,,2400,2400,2400,36 months,14.08,82.12,C,C3,Jun-17,Current,n,,credit_card,Credit card refinancing,608xx,IL,21.38,0,Sep-10,0,,,7,0,5397,42.8,8,w,14.3616,48 months
120,110601516,,1000,1000,1000,36 months,10.42,32.47,B,B3,Jun-17,Current,n,,home_improvement,Home improvement,156xx,PA,12.65,0,Jul-97,0,,,13,0,7935,36.9,14,w,10.6284,48 months
122,110669135,,5000,5000,5000,36 months,11.99,166.05,B,B5,Jun-17,Current,n,,other,Other,335xx,FL,32.23,1,Oct-02,0,19.0,,8,0,24661,93.8,17,w,12.229800000000001,48 months
124,112119543,,28000,28000,28000,36 months,7.21,867.25,A,A3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,212xx,MD,15.48,0,Oct-04,0,,,10,0,27390,44.7,29,w,7.3542,48 months
125,112006924,,21075,21075,21075,36 months,11.99,699.9,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,751xx,TX,22.85,0,Dec-98,0,27.0,17.0,7,6,2924,27.6,14,w,12.229800000000001,48 months
128,112077207,,27000,27000,27000,36 months,10.42,876.55,B,B3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,481xx,MI,15.65,0,May-06,0,,103.0,8,1,12349,72.2,29,w,10.6284,48 months
129,111511443,,8000,8000,8000,36 months,18.06,289.47,D,D2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,492xx,MI,19.92,0,Mar-07,4,41.0,30.0,11,2,2729,32.9,22,w,18.4212,48 months
131,112053412,,12000,12000,12000,36 months,9.93,386.82,B,B2,Jun-17,Current,n,,credit_card,Credit card refinancing,912xx,CA,12.19,0,May-78,0,52.0,,4,0,25935,97.9,9,w,10.1286,48 months
132,111826699,,14675,14675,14675,36 months,11.99,487.35,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,010xx,MA,22.0,1,Sep-96,0,5.0,,10,0,14982,76.8,19,w,12.229800000000001,48 months
133,111818259,,10000,10000,10000,36 months,11.99,332.1,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,480xx,MI,18.53,0,Mar-99,0,,,7,0,11253,79.8,9,w,12.229800000000001,48 months
134,112032447,,10000,10000,10000,36 months,12.62,335.12,C,C1,Jun-17,Current,n,,other,Other,717xx,AR,22.4,0,Jul-08,0,78.0,67.0,7,2,9669,82.6,11,w,12.872399999999999,48 months
135,111808885,,8000,8000,8000,36 months,11.99,265.68,B,B5,Jun-17,Current,n,,medical,Medical expenses,225xx,VA,14.1,2,May-07,0,9.0,,6,0,2970,87.4,14,w,12.229800000000001,48 months
136,111246602,,5000,5000,5000,36 months,5.32,150.58,A,A1,Jun-17,Current,n,,home_improvement,Home improvement,303xx,GA,11.52,0,Apr-05,0,,,8,0,0,0.0,17,w,5.4264,48 months
139,112064156,,5000,5000,5000,36 months,9.93,161.18,B,B2,Jun-17,Current,n,,home_improvement,Home improvement,923xx,CA,11.66,1,Jun-03,3,13.0,,12,0,1416,9.3,23,w,10.1286,48 months
140,111857940,,24000,24000,24000,36 months,7.07,741.82,A,A2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,968xx,HI,25.72,0,Jun-04,0,,,8,0,21798,33.5,29,w,7.2114,48 months
142,111998699,,15000,15000,15000,36 months,14.08,513.25,C,C3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,930xx,CA,13.61,0,Nov-05,1,69.0,,10,0,15369,49.9,16,w,14.3616,48 months
143,111730168,,4000,4000,4000,36 months,16.02,140.67,C,C5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,731xx,OK,33.13,1,Jul-02,1,1.0,118.0,9,1,2761,48.4,15,w,16.3404,48 months
144,112369503,,11200,11200,11200,36 months,12.62,375.33,C,C1,Jun-17,Current,n,,credit_card,Credit card refinancing,284xx,NC,15.36,0,May-99,1,77.0,,4,0,2329,93.2,26,w,12.872399999999999,48 months
145,112435166,,3000,3000,3000,36 months,7.97,93.97,A,A5,Jun-17,Current,n,,credit_card,Credit card refinancing,916xx,CA,18.25,0,Oct-10,1,,,10,0,6284,43.6,10,w,8.1294,48 months
146,112220049,,22000,22000,22000,36 months,13.59,747.54,C,C2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,300xx,GA,12.18,0,Dec-00,1,,25.0,21,1,24102,68.3,32,w,13.8618,48 months
147,112134404,,15000,15000,15000,36 months,16.02,527.51,C,C5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,236xx,VA,18.84,1,Sep-09,0,14.0,79.0,10,1,11906,89.5,18,w,16.3404,48 months
148,111996485,,10000,10000,10000,36 months,15.05,346.9,C,C4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,760xx,TX,11.82,0,Jan-04,1,47.0,,13,0,7113,44.5,24,w,15.351,48 months
150,111778131,,7000,7000,7000,36 months,19.03,256.7,D,D3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,913xx,CA,23.77,0,Aug-09,1,26.0,,15,0,10940,26.4,23,f,19.410600000000002,48 months
151,111988141,,2000,2000,2000,36 months,10.42,64.93,B,B3,Jun-17,Current,n,,credit_card,Credit card refinancing,170xx,PA,32.95,2,Jan-05,0,21.0,,16,0,30172,85.5,30,w,10.6284,48 months
153,110957981,,6000,6000,6000,36 months,7.07,185.46,A,A2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,305xx,GA,11.28,0,Jun-02,0,57.0,,12,0,11260,19.2,16,w,7.2114,48 months
155,111551644,,6000,6000,6000,36 months,16.02,211.01,C,C5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,368xx,AL,15.93,0,Jul-06,1,,,11,0,8657,78.7,27,w,16.3404,48 months
156,111976993,,8000,8000,8000,36 months,16.02,281.34,C,C5,Jun-17,Current,n,,credit_card,Credit card refinancing,021xx,MA,13.29,0,Dec-96,1,,,18,0,5378,70.0,21,w,16.3404,48 months
157,112033127,,3000,3000,3000,36 months,16.02,105.51,C,C5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,955xx,CA,9.73,0,Mar-13,1,28.0,,5,0,1730,32.6,6,w,16.3404,48 months
158,111897237,,12000,12000,12000,36 months,9.93,386.82,B,B2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,597xx,MT,12.62,1,Mar-93,0,7.0,76.0,11,3,10927,43.7,27,w,10.1286,48 months
160,112438673,,6000,6000,6000,36 months,9.93,193.41,B,B2,Jun-17,Current,n,,credit_card,Credit card refinancing,483xx,MI,16.1,0,Aug-05,0,27.0,,6,0,9690,59.1,12,w,10.1286,48 months
161,110955889,,4800,4800,4800,36 months,7.07,148.37,A,A2,Jun-17,Current,n,,other,Other,626xx,IL,21.86,0,Jan-96,1,,,14,0,11997,41.2,20,w,7.2114,48 months
162,111816681,,40000,40000,40000,36 months,9.44,1280.2,B,B1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,208xx,MD,5.69,0,Feb-88,0,32.0,,6,0,15750,69.1,23,w,9.6288,48 months
163,112055008,,7000,7000,7000,36 months,7.35,217.27,A,A4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,550xx,MN,17.28,0,Apr-07,0,,,7,0,2169,13.3,10,w,7.497,48 months
165,112435413,,6500,6500,6500,36 months,5.32,195.75,A,A1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,773xx,TX,8.64,0,Oct-85,0,,,9,0,6703,24.1,12,w,5.4264,48 months
166,111732017,,3625,3625,3625,36 months,16.02,127.49,C,C5,Jun-17,Current,n,,other,Other,301xx,GA,29.03,0,Aug-11,0,,,5,0,4660,68.5,6,w,16.3404,48 months
169,111472180,,15000,15000,15000,36 months,7.07,463.64,A,A2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,681xx,NE,18.66,0,Dec-04,0,,,16,0,18853,63.1,38,w,7.2114,48 months
170,111977621,,10000,10000,10000,36 months,5.32,301.15,A,A1,Jun-17,Current,n,,major_purchase,Major purchase,710xx,LA,28.46,0,Apr-01,0,70.0,,19,0,9718,10.1,49,w,5.4264,48 months
172,112058268,,36000,36000,36000,36 months,5.32,1084.14,A,A1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,383xx,TN,15.54,0,Jul-84,1,,,19,0,57255,28.7,36,w,5.4264,48 months
173,111775612,,6800,6800,6800,36 months,24.85,269.83,E,E3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,175xx,PA,20.35,0,Oct-09,0,36.0,,7,0,5490,72.2,24,w,25.347,48 months
174,111978068,,10000,10000,10000,36 months,11.99,332.1,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,114xx,NY,8.53,0,May-11,0,,,4,0,10039,93.0,5,w,12.229800000000001,48 months
175,111837447,,15500,15500,15500,36 months,7.07,479.1,A,A2,Jun-17,Current,n,,credit_card,Credit card refinancing,786xx,TX,17.16,0,Jun-91,0,,,5,0,3804,20.0,25,w,7.2114,48 months
177,112028604,,30000,30000,30000,36 months,18.06,1085.48,D,D2,Jun-17,Current,n,,home_improvement,Home improvement,328xx,FL,34.33,0,Apr-00,0,44.0,,8,0,8003,53.4,17,w,18.4212,48 months
178,111743616,,40000,40000,40000,36 months,9.44,1280.2,B,B1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,199xx,DE,18.42,0,Apr-02,0,,,15,0,30635,43.8,25,w,9.6288,48 months
179,112048100,,22000,22000,22000,36 months,16.02,773.68,C,C5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,208xx,MD,15.09,0,May-09,0,,,20,0,17760,86.2,22,w,16.3404,48 months
